"tot","tot"
"PLP","T3H"
0.00079702200000000000,0.00000000000000000100
0.00079569599914063200,0.00009912289899292490
0.00079437440307285200,0.00019791652541522600
0.00079305718988489000,0.00029638251724329400
0.00079174433781007000,0.00039452250160728600
0.00079043582522561200,0.00049233809488075500
0.00078913163065144300,0.00058983090276938900
0.00078783173274902100,0.00068700252039887500
0.00078653611032017400,0.00078385453240189300
0.00078524474230594700,0.00088038851300425900
0.00078395760778545800,0.00097660602611021500
0.00078267468597477200,0.00107250862538688000
0.00078139595622577900,0.00116809785434789000
0.00078012139802509100,0.00126337524643619000
0.00077885099099294000,0.00135834232510604000
0.00077758471488209200,0.00145300060390421000
